fightId,date,location,weightClass,decisionMethod,fightLastRound,fightTime,fightTimeFormat,fightDetails,f1Name,f1Id,f1Result,f1ResultEncode,f1Knockdown,f1SigStrikesLandedTotal,f1SigStrikesAttTotal,f1SigStrikesPercentTotal,f1StrikesLandedTotal,f1StrikesAttTotal,f1TakedownLanded,f1TakedownAtt,f1TakedownPercent,f1SubmissionAtt,f1Rev,f1TimeControl,f1SigStrikesLanded,f1SigStrikesAtt,f1SigStrikesPercent,f1HeadSigStrikesLanded,f1HeadSigStrikesAtt,f1BodySigStrikesLanded,f1BodySigStrikesAtt,f1LegSigStrikesLanded,f1LegSigStrikesAtt,f1DistanceSigStrikesLanded,f1DistanceSigStrikesAtt,f1ClinchSigStrikesLanded,f1ClinchSigStrikesAtt,f1GroundSigStrikesLanded,f1GroundSigStrikesAtt,f2Name,f2Id,f2Result,f2ResultEncode,f2Knockdown,f2SigStrikesLandedTotal,f2SigStrikesAttTotal,f2SigStrikesPercentTotal,f2StrikesLandedTotal,f2StrikesAttTotal,f2TakedownLanded,f2TakedownAtt,f2TakedownPercent,f2SubmissionAtt,f2Rev,f2TimeControl,f2SigStrikesLanded,f2SigStrikesAtt,f2SigStrikesPercent,f2HeadSigStrikesLanded,f2HeadSigStrikesAtt,f2BodySigStrikesLanded,f2BodySigStrikesAtt,f2LegSigStrikesLanded,f2LegSigStrikesAtt,f2DistanceSigStrikesLanded,f2DistanceSigStrikesAtt,f2ClinchSigStrikesLanded,f2ClinchSigStrikesAtt,f2GroundSigStrikesLanded,f2GroundSigStrikesAtt
1fe58cdab57d233b,"September 09, 1994","Charlotte, North Carolina, USA",Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Tabatha Ricci,d25240135aee03e5,W,1,0,62,135,45%,103,187,5,11,45%,0,0,398,62,135,45%,42,109,12,16,8,10,29,98,5,5,28,32,Maria Oliveira,37d752ec41ed84bb,L,0,0,66,178,37%,90,207,0,0,None,0,0,01,66,178,37%,34,128,18,33,14,17,61,172,4,4,1,2
d44d735e5079bfb8,"September 09, 1994","Charlotte, North Carolina, USA",Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Mason Jones,f6ad6a1e4d600e0d,W,1,0,87,157,55%,116,191,8,14,57%,0,0,541,87,157,55%,65,133,20,22,2,2,69,130,10,18,8,9,David Onama,ffe9703408fb5964,L,0,0,90,153,58%,121,186,0,1,0%,0,0,11,90,153,58%,80,142,8,9,2,2,70,128,19,23,1,2
88256dd5a9aef1cc,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,2,3:13,3 Rnd (5-5-5),Punch to Head In Clinch,Junyong Park,285ae0b4a68221f4,L,0,0,56,109,51%,59,112,0,0,None,0,0,29,56,109,51%,50,103,0,0,6,6,54,106,2,3,0,0,Gregory Rodrigues,d1c65d2cf2925ddd,W,1,0,68,90,75%,75,98,2,4,50%,0,1,200,68,90,75%,53,73,15,16,0,1,57,77,3,3,8,10
e078d18fa9ed100d,"September 09, 1994","Charlotte, North Carolina, USA",Light Heavyweight Bout, KO/TKO ,1,1:18,3 Rnd (5-5-5),Punches to Head On Ground,Nicolae Negumereanu,8c57c7b8c3bab0eb,W,1,0,11,21,52%,11,21,0,1,0%,0,0,20,11,21,52%,8,18,0,0,3,3,7,14,1,1,3,6,Ike Villanueva,f9d0cae37dabfafc,L,0,0,7,21,33%,7,21,0,1,0%,0,0,00,7,21,33%,5,19,2,2,0,0,7,20,0,1,0,0
587d373f18f6c8c0,"September 09, 1994","Charlotte, North Carolina, USA",Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),None,Francisco Trinaldo,a8283a4f415e1eb9,W,1,0,36,70,51%,61,101,1,3,33%,0,0,285,36,70,51%,20,50,11,14,5,6,26,57,4,5,6,8,Dwight Grant,8be158ca1e5ea6a0,L,0,0,31,133,23%,41,145,1,1,100%,0,0,11,31,133,23%,20,114,7,14,4,5,28,128,1,1,2,4
98842f17dfe4b4ef,"September 09, 1994","Charlotte, North Carolina, USA",None, Submission ,2,3:31,3 Rnd (5-5-5),Rear Naked Choke,Alex Caceres,7aa3d6964eff4877,W,1,0,46,64,71%,54,72,0,0,None,1,0,49,46,64,71%,22,33,13,17,11,14,37,54,9,10,0,0,SeungWoo Choi,a68575214ecad140,L,0,1,33,98,33%,38,104,0,0,None,0,0,15,33,98,33%,18,78,11,16,4,4,26,85,3,3,4,10
69167b996ce7a7e4,"September 09, 1994","Charlotte, North Carolina, USA",Women's Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Jessica-Rose Clark,6c8072b61c276e67,W,1,0,18,27,66%,54,74,5,11,45%,0,0,700,18,27,66%,9,17,5,5,4,5,10,19,4,4,4,4,Joselyne Edwards,f9ab66e67240db7b,L,0,0,30,48,62%,72,94,0,0,None,0,0,98,30,48,62%,19,33,7,9,4,6,23,41,3,3,4,4
9fe62ea683decc55,"September 09, 1994","Charlotte, North Carolina, USA",Lightweight Bout, Decision - Majority ,3,5:00,3 Rnd (5-5-5),None,Grant Dawson,99bd51917728c25d,D,0,0,24,31,77%,71,85,3,11,27%,0,0,506,24,31,77%,12,17,11,13,1,1,3,7,2,2,19,22,Ricky Glenn,814ff3018127e8fc,D,0,0,28,41,68%,88,104,0,0,None,1,0,270,28,41,68%,19,26,7,12,2,3,8,19,1,1,19,21
860be3cc82895177,"September 09, 1994","Charlotte, North Carolina, USA",None, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),None,Paulo Costa,2e5c2aa8e4ab9d82,L,0,0,163,260,62%,172,269,1,1,100%,0,0,47,163,260,62%,82,174,67,72,14,14,154,249,5,5,4,6,Marvin Vettori,7acbb0972e75281a,W,1,0,190,346,54%,214,373,1,5,20%,0,0,207,190,346,54%,154,307,33,36,3,3,168,316,21,29,1,1
cf020c71f1dbfa0b,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,1,2:01,3 Rnd (5-5-5),Punches to Head At Distance,Batgerel Danaa,3b0a516d2921e0d6,W,1,1,22,51,43%,22,51,0,0,None,0,0,05,22,51,43%,20,45,1,3,1,3,20,43,0,2,2,6,Brandon Davis,cc351e408bbb7d43,L,0,0,7,27,25%,7,27,0,0,None,0,0,00,7,27,25%,4,22,1,3,2,2,7,27,0,0,0,0
